"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:4MkbdZcp1AvrxRRzZGBDiR","Yur Luv","spotify:artist:6IhG3Yxm3UW98jhyBvrIut","Tekno","spotify:album:1yIc5h4HsftHI0vsFma46l","Yur Luv","spotify:artist:6IhG3Yxm3UW98jhyBvrIut","Tekno","2018-03-14","https://i.scdn.co/image/ab67616d0000b273105b1651c447ecd9d7741148","1","1","231053","https://p.scdn.co/mp3-preview/6d250603ad62ef1af6b1202ecfcb6efcaaf311b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:recks11","2020-12-21T07:41:46Z","afropop,azontobeats,nigerian hip hop,nigerian pop","0.736","0.786","3","-4.988","0","0.067","0.331","0.0000314","0.186","0.862","103.956","4","","MADE MEN MUSIC GROUP","C 2018 MADE MEN MUSIC GROUP, P 2018 Made Men Music Group"
"spotify:track:20y3jcX6Cdjr0QtmiPSvZj","Aibo","spotify:artist:7GUayRAp1ClL94DXIwMmD4","Mystro","spotify:album:5aTJGWpJxxoNiTGFzFQRpW","Aibo","spotify:artist:7GUayRAp1ClL94DXIwMmD4","Mystro","2014-07-03","https://i.scdn.co/image/ab67616d0000b273437ff8545ec02cd45d813505","1","1","203545","https://p.scdn.co/mp3-preview/6b47b1069fd6fc5fe46cc0e84996294289e07695?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:recks11","2020-12-21T07:50:51Z","nigerian pop,uk hip hop","0.882","0.898","1","-3.184","1","0.0668","0.292","0.00103","0.0628","0.969","125.035","4","","23OHSIX","C 2019 23OHSIX, P 2019 Mystro Sugar"
"spotify:track:2d9MoAcglrzIBf451su6Am","Say-Baba","spotify:artist:1VsvlBp2dqKk2g9EVFvxXg","CDQ","spotify:album:46hJn5wF8EhmvobVmninQJ","Say-Baba","spotify:artist:1VsvlBp2dqKk2g9EVFvxXg","CDQ","2017-02-01","https://i.scdn.co/image/ab67616d0000b27344e66ed2d4099e05847c8941","1","1","246674","https://p.scdn.co/mp3-preview/fa58f5bc0bdea499010565bc966661142c50492a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:recks11","2020-12-21T08:03:30Z","afropop,nigerian hip hop,nigerian pop","0.86","0.927","8","-2.89","0","0.0905","0.05","0.00571","0.14","0.87","125.02","4","","NSNS","C 2017 NSNS, P 2017 NSNS"
"spotify:track:2G4bUttW4JXa8hPYndQBEe","Rara","spotify:artist:6IhG3Yxm3UW98jhyBvrIut","Tekno","spotify:album:4mLP6kc5VGUxuLsnokf2T5","Rara","spotify:artist:6IhG3Yxm3UW98jhyBvrIut","Tekno","2016-12-07","https://i.scdn.co/image/ab67616d0000b273c192b15660e1b2e10c7bc904","1","1","237680","https://p.scdn.co/mp3-preview/701f6b038e9897a4c1849d0e25bed51b7858084b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:recks11","2020-12-21T08:03:41Z","afropop,azontobeats,nigerian hip hop,nigerian pop","0.88","0.934","1","-3.644","0","0.0969","0.055","0.0000174","0.044","0.965","102.018","4","","Made Men Music Group","C 2016 Made Men Music Group, P 2016 Made Men Music Group"
"spotify:track:5m6aJAmW3ZJ50eK0Gg0HgL","Available","spotify:artist:2hKQc001G7ggs3ZyxMdkGq","Patoranking","spotify:album:52Av15Tg6Sx7Ye0Rn20ONE","Available","spotify:artist:2hKQc001G7ggs3ZyxMdkGq","Patoranking","2017-11-09","https://i.scdn.co/image/ab67616d0000b273d969a7ee1042c0fe4584ddbc","1","1","214575","https://p.scdn.co/mp3-preview/1d9c66adf442860cf5bfc9dba4edb3eded4d2c70?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:recks11","2020-12-21T08:10:15Z","afro dancehall,afropop,azontobeats,gqom,nigerian pop","0.874","0.72","9","-7.432","1","0.0942","0.00605","0.0376","0.123","0.392","125.996","4","","Amari Musiq","C 2017 Amari Musiq, P 2017 Amari Musiq"
"spotify:track:6iC4xfqow6iAsRhPh5IrWz","PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","spotify:artist:64oW4P0vsDhlorOxZKQi6a, spotify:artist:3tVQdUvClmAT7URs9V3rsp, spotify:artist:2IK173RXLiCSQ8fhDlAb3s, spotify:artist:5yOvAmpIR7hVxiS6Ls5DPO","DJ Tunez, WizKid, Adekunle Gold, Omah Lay","spotify:album:6OTNestAuAxK7wytwRiq9q","PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)","spotify:artist:64oW4P0vsDhlorOxZKQi6a","DJ Tunez","2020-08-13","https://i.scdn.co/image/ab67616d0000b27312c21b57fe382fdbde6f5d8d","1","1","213599","https://p.scdn.co/mp3-preview/0f4f9a65622615f88b269e42c8a1c3327fc71b13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:recks11","2020-12-25T06:59:31Z","afro dancehall,afropop,nigerian pop,afro dancehall,afropop,azonto,nigerian hip hop,nigerian pop,afropop,alte,azontobeats,nigerian hip hop,nigerian pop,nigerian pop","0.755","0.645","3","-6.933","0","0.0944","0.625","0.00000579","0.197","0.695","99.889","4","","Star Boy Entertainment","C 2020 Star Boy Entertainment, P 2020 Star Boy Entertainment"
"spotify:track:7n194jHXt3EXVe2Kd42deD","REQUIRE","spotify:artist:64oW4P0vsDhlorOxZKQi6a, spotify:artist:4ovtyvs7j1jSmwhkBGHqSr","DJ Tunez, Olamide","spotify:album:1Sdrty8ZkaNRbZqjhrHKYt","REQUIRE","spotify:artist:64oW4P0vsDhlorOxZKQi6a, spotify:artist:4ovtyvs7j1jSmwhkBGHqSr","DJ Tunez, Olamide","2020-12-04","https://i.scdn.co/image/ab67616d0000b273503bfaa882fd61f34f784d66","1","1","223967","https://p.scdn.co/mp3-preview/cdd1230b1f2d42f9dc8abd2639d7ad19d6dec974?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:recks11","2020-12-25T07:06:52Z","afro dancehall,afropop,nigerian pop,afro dancehall,afropop,azonto,azontobeats,nigerian hip hop,nigerian pop","0.85","0.799","7","-6.875","1","0.0507","0.0937","0.411","0.0844","0.602","112.005","4","","BT Music Worldwide","C 2020 BT Music Worldwide, P 2020 BT Music Worldwide"
"spotify:track:2pgDBO0ZAgvye7joSmdDm8","SAD GIRLZ LUV MONEY","spotify:artist:21UPYSRWFKwtqvSAnFnSvS, spotify:artist:2hVWBpjLW4Q7fboYz2pVYK","Amaarae, Moliy","spotify:album:1cceIhCQ8R79pwy8jbZFqE","THE ANGEL YOU DON'T KNOW","spotify:artist:21UPYSRWFKwtqvSAnFnSvS","Amaarae","2020-11-12","https://i.scdn.co/image/ab67616d0000b2734e28afa2a5331a2a824181c9","1","13","196420","https://p.scdn.co/mp3-preview/f38b075201256e25e3844126c8e67413469f24d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","spotify:user:recks11","2021-01-31T13:05:14Z","afro r&b,alternative r&b,ghanaian alternative,ghanaian pop,indie r&b,ghanaian alternative","0.883","0.492","1","-7.979","0","0.0725","0.447","0.0019","0.128","0.296","109.974","4","","Golden Child Entertainment Ltd","C 2020 Golden Child Entertainment Ltd, P 2020 Sad Saints Angry Angels"
"spotify:track:7rpWDu9GPlLxbLorYKVys7","Gbona","spotify:artist:3wcj11K77LjEY1PkEazffa","Burna Boy","spotify:album:34vlTd4355ddD4q9pPsoqF","African Giant","spotify:artist:3wcj11K77LjEY1PkEazffa","Burna Boy","2019-07-25","https://i.scdn.co/image/ab67616d0000b27355375ff19ae4e7ab60da3cac","1","15","187609","https://p.scdn.co/mp3-preview/a9c184e9d47ec1a913bbee2d40642e1ff8776c49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:recks11","2021-02-01T13:25:00Z","afro dancehall,dancehall,nigerian hip hop,nigerian pop","0.798","0.813","4","-5.869","0","0.162","0.564","0.000141","0.108","0.942","93.912","4","","Bad Habit/On A Spaceship/Atlantic","C Atlantic/Bad Habit/Spaceship Records, © 2019 Atlantic Recording Corporation, P Atlantic/Bad Habit/Spaceship Records, ℗ 2019 Atlantic Recording Corporation"
"spotify:track:1qEZAFGpVWr7PZKVMOcYv8","Innocent - Fagbo","spotify:artist:5MEHQvTW53C0ccsuxdZobQ","Niniola","spotify:album:3EBwkrtolowpPRnMwMcOJf","Colours and Sounds","spotify:artist:5MEHQvTW53C0ccsuxdZobQ","Niniola","2020-10-02","https://i.scdn.co/image/ab67616d0000b273093399c24efc53339d81818e","1","2","179988","https://p.scdn.co/mp3-preview/0955f5609d34a5b5f8dcb6e5f33ce003e264bedb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:recks11","2021-02-01T13:25:06Z","afropop,nigerian pop","0.823","0.749","9","-4.737","0","0.091","0.0641","0.0344","0.0682","0.591","106.123","4","","DRUMROLL RECORDS","C 2020 Drumroll Records, P 2020 Drumroll Records"
