"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1boXOL0ua7N2iCOUVI1p9F","Japanese Denim","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:5qfhZ5YkZ4LhEUbYgjrWt6","Get You - Single","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2016-10-21","https://i.scdn.co/image/ab67616d0000b273617c314e94693fad9a26f798","1","2","270846","https://p.scdn.co/mp3-preview/a01e6e1cdeef8a826bbf8c8657ca448c6714468a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop","0.707","0.238","3","-8.818","1","0.0379","0.0905","0.00000242","0.0842","0.345","124.156","3","","Daniel Caesar","C 2016 Daniel Caesar, P 2016 Daniel Caesar"
"spotify:track:7zFXmv6vqI4qOt4yGf3jYZ","Get You (feat. Kali Uchis)","spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:1U1el3k54VvEUzo3ybLPlM","Daniel Caesar, Kali Uchis","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","1","278179","https://p.scdn.co/mp3-preview/004e53a751e628eba8eff49946e90afb640b8c5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop,colombian pop,pop","0.658","0.294","4","-8.533","0","0.0321","0.422","0.000052","0.0749","0.358","74.038","4","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:1Mza2sr6tPhy6jjI3HB9fW","Hold Me Down","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","3","231267","https://p.scdn.co/mp3-preview/60467d743d9c8ad7183964db8765e86df2ce5318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop","0.463","0.427","8","-9.799","0","0.0549","0.628","0.000565","0.0911","0.231","116.059","4","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:3SPfACAarZmNEF45erapCY","Neu Roses (Transgressor's Song)","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","4","181908","https://p.scdn.co/mp3-preview/8ce661d4fb5880f94054abcc8445943f7832499a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop","0.543","0.327","0","-12.749","1","0.0625","0.933","0.00000122","0.685","0.291","68.974","4","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:1TPLsNVlofwX1txcE9gZZF","We Find Love","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","6","254919","https://p.scdn.co/mp3-preview/358af7a1a0db3594bbd8d6f2376367b90dda6a4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop","0.51","0.363","5","-8.635","1","0.0304","0.853","0","0.109","0.426","78","4","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:0KyzXQhY2yzcb1FYCHkZc2","Blessed","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","7","241370","https://p.scdn.co/mp3-preview/52815a7486029e8f9f95155b86a3a23a60e33ec2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop","0.448","0.263","11","-11.98","1","0.0373","0.824","0.00000191","0.106","0.451","109.889","1","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:4nESnAOALHmxg8UFCCtXhO","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2017-08-25","https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037","1","10","602296","https://p.scdn.co/mp3-preview/463a6e610a2262e4de6fe1f362a2f5d67d416a90?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop","0.355","0.298","8","-12.277","1","0.0581","0.31","0.00266","0.185","0.0714","115.823","3","","Golden Child Recordings","C 2017 Golden Child Recordings, P 2017 Golden Child Recordings"
"spotify:track:23c9gmiiv7RCu7twft0Mym","Who Hurt You?","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:15M9pZ8gsdoN67yLjyQ039","Who Hurt You?","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","2018-10-16","https://i.scdn.co/image/ab67616d0000b273c70176fa51326491ecc5f79e","1","1","231964","https://p.scdn.co/mp3-preview/0289702ff4c42459e81a402eb05cb4c7c396a5ab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:recks11","2020-10-23T17:38:27Z","canadian contemporary r&b,pop","0.649","0.493","11","-7.645","0","0.11","0.586","0.000167","0.0667","0.277","104.542","4","","Golden Child Recordings","C 2018 Golden Child Recordings, P 2018 Golden Child Recordings"
