"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Album Genres","Label","Copyrights"
"spotify:track:1Tpumw7gWMPujKYoMXHI6I","Babybird","spotify:artist:0AsThoR4KZSVktALiNcQwW","Chloe x Halle","spotify:album:26mqgId4rrypPiYnN9tXuX","The Kids Are Alright","spotify:artist:0AsThoR4KZSVktALiNcQwW","Chloe x Halle","2018-03-23","https://i.scdn.co/image/ab67616d0000b273c802775235748dd21e1c6b12","1","12","186573","https://p.scdn.co/mp3-preview/5b9076e8975523a4853ca0382ff3a09e56119b8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,dance pop,pop,pop rap,post-teen pop,r&b","","Parkwood Entertainment/Columbia","P (P) 2017, 2018 Parkwood Entertainment LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:6hW9YIT1Y00EY5wO6pO3gG","Warrior (from A Wrinkle in Time)","spotify:artist:0AsThoR4KZSVktALiNcQwW","Chloe x Halle","spotify:album:26mqgId4rrypPiYnN9tXuX","The Kids Are Alright","spotify:artist:0AsThoR4KZSVktALiNcQwW","Chloe x Halle","2018-03-23","https://i.scdn.co/image/ab67616d0000b273c802775235748dd21e1c6b12","1","13","219586","https://p.scdn.co/mp3-preview/177553a9a3d86cf4edfcf5f14f9fd82653297035?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,dance pop,pop,pop rap,post-teen pop,r&b","","Parkwood Entertainment/Columbia","P (P) 2017, 2018 Parkwood Entertainment LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2CnH4xbQYq0RmCzf4HjlQZ","Cool People","spotify:artist:0AsThoR4KZSVktALiNcQwW","Chloe x Halle","spotify:album:26mqgId4rrypPiYnN9tXuX","The Kids Are Alright","spotify:artist:0AsThoR4KZSVktALiNcQwW","Chloe x Halle","2018-03-23","https://i.scdn.co/image/ab67616d0000b273c802775235748dd21e1c6b12","1","14","218386","https://p.scdn.co/mp3-preview/d60ce41db8c5e344158663cce587ff0f10e34d72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,dance pop,pop,pop rap,post-teen pop,r&b","","Parkwood Entertainment/Columbia","P (P) 2017, 2018 Parkwood Entertainment LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:10SUWedx0zohs8M3OJpnA7","Get Away","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2015-06-26","https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93","1","1","148706","https://p.scdn.co/mp3-preview/434fcbaaddc7e7a9b97dd9c030231b6def395f87?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,indie soul,lgbtq+ hip hop,neo soul","","Odd Future","P (P) 2015 Odd Future LLC"
"spotify:track:5xok0LRntz8qY9ljEwPV9L","Gabby (feat. Janelle Monáe)","spotify:artist:7GN9PivdemQRKjDt4z5Zv8, spotify:artist:6ueGR6SWhUJfvEhqkvMsVs","The Internet, Janelle Monáe","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2015-06-26","https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93","1","2","212080","https://p.scdn.co/mp3-preview/5e0a57b3ae57ced1f4360db6c559c5f3512a4c28?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,indie soul,lgbtq+ hip hop,neo soul,afrofuturism,alternative r&b,atl hip hop,dance pop,electropop,escape room,neo soul,pop,r&b","","Odd Future","P (P) 2015 Odd Future LLC"
"spotify:track:2F4JaV4P4zajoAiUkHD36b","Just Sayin/I Tried","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2015-06-26","https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93","1","5","413586","https://p.scdn.co/mp3-preview/49e611644fe313c12fa5223d8bcdb79adad85d7e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,indie soul,lgbtq+ hip hop,neo soul","","Odd Future","P (P) 2015 Odd Future LLC"
"spotify:track:3PFaFVWq5wucLu6s4baj9D","Girl (feat. KAYTRANADA)","spotify:artist:7GN9PivdemQRKjDt4z5Zv8, spotify:artist:6qgnBH6iDM91ipVXv28OMu","The Internet, KAYTRANADA","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2015-06-26","https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93","1","7","415613","https://p.scdn.co/mp3-preview/53b78f12aad00c50f6ca55904618769d47a051d1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,indie soul,lgbtq+ hip hop,neo soul,escape room,indie soul,lgbtq+ hip hop","","Odd Future","P (P) 2015 Odd Future LLC"
"spotify:track:3NWTRZ0A8xKlBP1qgNftql","Special Affair","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","2015-06-26","https://i.scdn.co/image/ab67616d0000b2731c1c33c63cdbcb5788975a93","1","8","176186","https://p.scdn.co/mp3-preview/8bae5d1a8b4575fa27b08c4382a5397e254306b4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:recks11","2020-10-23T17:50:47Z","alternative r&b,indie soul,lgbtq+ hip hop,neo soul","","Odd Future","P (P) 2015 Odd Future LLC"
"spotify:track:3Q3myFA7q4Op95DOpHplaY","do re mi","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","spotify:album:30QoUTsSdpQuZunPNFsLnm","digital druglord","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2017-04-21","https://i.scdn.co/image/ab67616d0000b27318e8b6e355542ddf38562055","1","4","212027","https://p.scdn.co/mp3-preview/b2fac4595f3759005394f08a8c84dafdc895703b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:recks11","2020-10-23T17:50:47Z","electropop,pop,pop rap","","Alamo / Blackbear P&D","C © 2017 Beartrap, LLC, under exclusive license to UMG Recordings, Inc., P A Beartrap/Alamo/Interscope Release; ℗ 2017 Beartrap, LLC, under exclusive license to UMG Recordings, Inc."
"spotify:track:3yeY4xWT8YgILRFRdfb5KY","wish u the best","spotify:artist:2cFrymmkijnjDg9SS92EPM, spotify:artist:3VTJqPiHqHHIrx1FL7avMY","blackbear, Stalking Gia","spotify:album:2l3HIzSVnACXyTc2SduFOI","digital druglord","spotify:artist:2cFrymmkijnjDg9SS92EPM","blackbear","2017-04-21","https://i.scdn.co/image/ab67616d0000b2738b41182625f5b10d7f0ccc0b","1","5","154452","","true","0","spotify:user:recks11","2020-10-23T17:50:47Z","electropop,pop,pop rap","","Beartrap","C 2017 Beartrap, P 2017 Beartrap"
