"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0Eq2AzJQNwxf5FsLYBjitC","Carefree","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","spotify:album:4SnWrk06dIt4ynFRLpNX6e","The Circus","spotify:artist:1FvjvACFvko2Z91IvDljrx","Mick Jenkins","2020-01-10","https://i.scdn.co/image/ab67616d0000b27336ba20b7e0d1b5336dad99c7","1","2","190116","https://p.scdn.co/mp3-preview/49c0b2f395adddfbbe3aade2f277f72c9b83495a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:recks11","2021-01-20T21:36:37Z","chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.873","0.457","11","-11.558","1","0.0451","0.288","0.00000112","0.093","0.74","137.543","4","","Cinematic Music Group","C © 2020 Free Nation / Cinematic Music Group, P ℗ 2020 Free Nation / Cinematic Music Group"
"spotify:track:3DbBgbnDUOml329rAp2Tbr","Colorado","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","spotify:album:7DWz0zPWRlCDt5H4OoG5mN","Colorado","spotify:artist:2AfU5LYBVCiCtuCCfM7uVX","Kota the Friend","2018-10-24","https://i.scdn.co/image/ab67616d0000b2735c55e317bbc42400336ed54f","1","1","206500","https://p.scdn.co/mp3-preview/0eda1674fdb94a03cdf7af714dd4a85fa6ac9a75?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:recks11","2021-01-20T21:46:43Z","hip hop,pop rap,rap,underground hip hop","0.905","0.562","8","-7.884","1","0.0662","0.453","0.000285","0.13","0.507","139.997","4","","Fltbys","C 2018 Fltbys, P 2018 Fltbys"
"spotify:track:0IVAlb0cFCH1cQ974iR1TU","Ms. Fat Booty","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:5gK2l2LgWY0BA4p9uy27z6","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d","1","4","223546","https://p.scdn.co/mp3-preview/b86f3fe5889b796dfe409aa8cf517b2086638213?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:recks11","2021-01-20T21:58:43Z","alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop","0.782","0.589","1","-4.827","1","0.189","0.148","0","0.164","0.869","90.438","4","","Rawkus Entertainment","C © 1999 Rawkus Entertainment LLC, P ℗ 1999 Rawkus Entertainment LLC"
"spotify:track:0Eqm7hD828cATBLUx2fJox","Meditate (feat. J.I.D.)","spotify:artist:5MbNzCW3qokGyoo9giHA3V, spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7","EARTHGANG, JID","spotify:album:6vWPa9ZBLjjh7jsG4hRskQ","Rags - EP","spotify:artist:5MbNzCW3qokGyoo9giHA3V","EARTHGANG","2017-09-01","https://i.scdn.co/image/ab67616d0000b27323fdbe2d9248f013d13a94f5","1","1","278083","https://p.scdn.co/mp3-preview/8f792695e30509c09e6f5e1020547b8f8e6757bf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","spotify:user:recks11","2021-01-20T22:14:07Z","atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop,hip hop,rap,underground hip hop","0.743","0.679","10","-8.295","0","0.286","0.0757","0","0.347","0.618","147.752","4","","Spillage Village","C 2017 Spillage Village, P 2017 Spillage Village"
"spotify:track:2Ee9amLUslOwgoJWZEpSSD","Mystery Lady (feat. Don Toliver)","spotify:artist:3ycxRkcZ67ALN3GQJ57Vig, spotify:artist:4Gso3d4CscCijv0lmajZWs","Masego, Don Toliver","spotify:album:3iJYwx4U2xHyDi7BRjskIJ","Mystery Lady (feat. Don Toliver)","spotify:artist:3ycxRkcZ67ALN3GQJ57Vig, spotify:artist:4Gso3d4CscCijv0lmajZWs","Masego, Don Toliver","2020-11-10","https://i.scdn.co/image/ab67616d0000b273ce43165a3e0d5f6ecab441d8","1","1","228453","https://p.scdn.co/mp3-preview/11a62b75356681a667cb183e730d9e38a0ed35af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:recks11","2021-01-20T22:22:40Z","alternative r&b,indie soul,rap,trap","0.747","0.494","3","-7.957","0","0.141","0.393","0","0.0982","0.624","76.006","4","","EQT Recordings/Capitol Records","C © 2020 UMG Recordings, Inc. & EQT Recordings, LLC., P EQT Recordings/Capitol Records; ℗ 2020 UMG Recordings, Inc. & EQT Recordings, LLC."
"spotify:track:67sZGo41W4hL2OuYNr3Asf","Wonder","spotify:artist:2TLYSzGyVYkxAgYSCqUnQj","Jay Prince","spotify:album:2ZoBUiNBE2s2fB4Oxa40ft","WONDER","spotify:artist:2TLYSzGyVYkxAgYSCqUnQj","Jay Prince","2019-01-25","https://i.scdn.co/image/ab67616d0000b273394ff249a2f5a991e610520a","1","3","155466","https://p.scdn.co/mp3-preview/c0882cdf09c53030339edc80f9dfaa0ab454f347?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:recks11","2021-01-20T22:51:45Z","alternative r&b,indie r&b,indie soul,trap soul,uk alternative hip hop,underground hip hop","0.722","0.674","11","-8.024","0","0.0441","0.24","0.00000583","0.0863","0.57","94.572","4","","DRMCLB RECORDS / COSA NOSTRA MUSIC","C 2019 DRMCLB RECORDS / COSA NOSTRA MUSIC, P 2019 DRMCLB RECORDS / COSA NOSTRA MUSIC"
"spotify:track:4m1mrlWu35x0trDuKE5XvX","Fall In Love","spotify:artist:5bCwYvvFvWOEXtO9W7p0Iv, spotify:artist:38cfgJjmUEknY8JKyFBipW","Craig Xen, Diablo","spotify:album:2riI5LNaJkkDDtMPLkfWDa","Fall in Love","spotify:artist:5bCwYvvFvWOEXtO9W7p0Iv, spotify:artist:38cfgJjmUEknY8JKyFBipW","Craig Xen, Diablo","2019-10-08","https://i.scdn.co/image/ab67616d0000b2734de00f07577b674f221889a0","1","1","150073","https://p.scdn.co/mp3-preview/890868dc39366bd03b99feafee7a94fccea60790?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","spotify:user:recks11","2021-01-20T23:03:13Z","dark trap,emo rap,underground hip hop,vapor trap","0.709","0.57","4","-9.574","0","0.352","0.9","0","0.0784","0.605","80.003","4","","Cruel World / EMPIRE","C 2019 Cruel World / EMPIRE, P 2019 Cruel World / EMPIRE"
"spotify:track:1k5t0MC77UuwEp5FfZnKOd","Let Go","spotify:artist:2rwALQ1SXdfUWPUd6WOfYS","Aaron May","spotify:album:2LT7lNoWT6svQOEUeSrbyH","CHASE","spotify:artist:2rwALQ1SXdfUWPUd6WOfYS","Aaron May","2019-02-28","https://i.scdn.co/image/ab67616d0000b2738fecf610f57f9c3e6df2dc42","1","4","176531","https://p.scdn.co/mp3-preview/6e968763def26ab91bc6fb8b833ca6d61b02eb0a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:recks11","2021-01-20T23:03:18Z","hip hop,rap,underground hip hop","0.87","0.498","9","-8.339","0","0.0623","0.046","0","0.146","0.692","110.019","4","","MOVEINTHEAM / EMPIRE","C 2019 MOVEINTHEAM / EMPIRE, P 2019 MOVEINTHEAM / EMPIRE"
"spotify:track:4TGHOWSNAwUXn5onDQr0P1","Street Talkin'","spotify:artist:1W9qOBYRTfP7HcizWN43G1, spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Slick Rick, Outkast","spotify:album:4cZL0gsOEIOPLXdhc18vex","The Art Of Storytelling","spotify:artist:1W9qOBYRTfP7HcizWN43G1","Slick Rick","1999-01-01","https://i.scdn.co/image/ab67616d0000b273e9a2bb369e73812ebcf30b56","1","3","221200","https://p.scdn.co/mp3-preview/1b893cc3fef1081aaa446c84459f1671d7064d17?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:recks11","2021-01-20T23:21:51Z","alternative hip hop,bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,old school hip hop,rap,atl hip hop,dirty south rap,hip hop,rap,southern hip hop","0.934","0.495","5","-7.483","0","0.346","0.0544","0","0.0934","0.836","101.781","4","","RAL (Rush Associated Label)","C © 1999 Def Jam Records Inc., P ℗ 1999 Def Jam Recordings"
"spotify:track:44ashym52bERKclJsKt3Db","Okok (Hibachi)","spotify:artist:3DGlTwdM5Dim9XQipb3jMf","Jordan Ward","spotify:album:1n6ULeNHEteS5eucGgsUSp","Valley Hopefuls","spotify:artist:3DGlTwdM5Dim9XQipb3jMf","Jordan Ward","2019-06-07","https://i.scdn.co/image/ab67616d0000b273e0a686f7cfd1a61f1241cd69","1","2","133152","https://p.scdn.co/mp3-preview/87011b747f17b412f1f8fe10a32ccc7d45f828cb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:recks11","2021-01-20T23:21:56Z","alternative r&b,indie hip hop,indie r&b","0.894","0.475","11","-8.346","1","0.131","0.309","0.000138","0.111","0.571","144.202","4","","Live Help LIve / Artium Recordings, LLC","C 2019 Live Help Live / Artium Recordings, LLC, P 2019 Live Help Live / Artium Recordings, LLC"
"spotify:track:3GXSywNvYLAVUCtjMHkKDh","E. Coli (feat. Earl Sweatshirt)","spotify:artist:0eVyjRhzZKke2KFYTcDkeu, spotify:artist:3A5tHz1SfngyOZM2gItYKu","The Alchemist, Earl Sweatshirt","spotify:album:6HB5Nq7lSjvTs3gJom6BXI","Bread","spotify:artist:0eVyjRhzZKke2KFYTcDkeu","The Alchemist","2018-11-30","https://i.scdn.co/image/ab67616d0000b273795e7069de7cb188b7c821b4","1","4","132147","https://p.scdn.co/mp3-preview/e61848b38677dc9e123849664c169e2018d0acff?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","spotify:user:recks11","2021-01-20T23:29:05Z","alternative hip hop,hardcore hip hop,hip hop,southern hip hop,underground hip hop,west coast rap,alternative hip hop,escape room,experimental hip hop,hip hop,rap,underground hip hop","0.322","0.555","11","-8.726","0","0.129","0.208","0.00437","0.325","0.397","96.019","3","","ALC","C 2018 ALC, P 2018 ALC"
"spotify:track:0aMHIW1lqrulVCx0LLlr6a","Cocoa Butter Kisses","spotify:artist:1anyVhU62p31KFi8MEzkbf, spotify:artist:27w1NoOLMX7tJMYqcetPyG, spotify:artist:6vbY3hOaCAhC7VjucswgdS","Chance the Rapper, VIC MENSA, Twista","spotify:album:2VBcztE58pBKjIDS5oEgFh","Acid Rap","spotify:artist:1anyVhU62p31KFi8MEzkbf","Chance the Rapper","2013-04-30","https://i.scdn.co/image/ab67616d0000b273d95ab48a8a9de3c4a2cbfe80","1","4","307187","https://p.scdn.co/mp3-preview/bd18e76c2bf858e96e5cd4e72bc7702dc05b495e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","spotify:user:recks11","2021-01-20T23:31:29Z","chicago rap,conscious hip hop,hip hop,pop rap,rap,chicago rap,conscious hip hop,hip hop,pop rap,rap,trap,underground hip hop,chicago rap,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,trap,urban contemporary","0.679","0.645","6","-7.777","0","0.222","0.0518","0","0.145","0.203","125.795","4","","Chance the Rapper","C 2019 Chance The Rapper LLC, P 2019 Chance The Rapper LLC"
