number,name,artist,album,genres,duration,released
2,Wait For It,H.E.R.,H.E.R. Volume 1,"alternative r&b,pop,r&b",135802,2016-09-09
12,Party Favors,Tinashe,Nightride,"alternative r&b,dance pop,electropop,metropopolis,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",248606,2016-11-04
16,Bated Breath,Tinashe,Aquarius,"alternative r&b,dance pop,electropop,metropopolis,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",348506,2014-10-03
17,Wildfire,Tinashe,Aquarius,"alternative r&b,dance pop,electropop,metropopolis,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",217040,2014-10-03
1,Get You (feat. Kali Uchis),Daniel Caesar,Freudian,"canadian contemporary r&b,pop,colombian pop,pop",278179,2017-08-25
4,Neu Roses (Transgressor's Song),Daniel Caesar,Freudian,"canadian contemporary r&b,pop",181908,2017-08-25
8,Take Me Away (feat. Syd),Daniel Caesar,Freudian,"canadian contemporary r&b,pop,alternative r&b,escape room,lgbtq+ hip hop",226116,2017-08-25
10,Freudian,Daniel Caesar,Freudian,"canadian contemporary r&b,pop",602296,2017-08-25
1,Adore,VanJess,Adore,"alternative r&b,chill r&b,indie r&b,indie soul,pop r&b",218096,2016-03-18
1,Will He,Joji,In Tongues (Deluxe),"alternative r&b,viral pop",202102,2018-02-14
3,Demons,Joji,In Tongues (Deluxe),"alternative r&b,viral pop",176803,2018-02-14
4,Window,Joji,In Tongues (Deluxe),"alternative r&b,viral pop",152375,2018-02-14
7,Got Her Own,Syd,Fin,"alternative r&b,escape room,lgbtq+ hip hop",185786,2017-02-03
3,Cold Sweat,Tinashe,Aquarius,"alternative r&b,dance pop,electropop,metropopolis,pop,pop r&b,pop rap,post-teen pop,r&b,urban contemporary",311680,2014-10-03
1,With Me,dvsn,SEPT 5TH,"alternative r&b,canadian contemporary r&b,chill r&b,indie r&b,pop,pop r&b,r&b,trap soul,urban contemporary",419500,2016-03-27
3,Obsession,Mack Wilds,AfterHours,alternative r&b,193502,2017-04-07
5,Don't,Bryson Tiller,T R A P S O U L,"kentucky hip hop,pop,pop rap,rap,trap",198293,2015-10-02
10,Cold Blooded,Khalid,American Teen,"alternative r&b,pop",207960,2017-04-27
3,i miss the old u,blackbear,digital druglord,"electropop,pop,pop rap",211127,2017-04-21
1,My Song,H.E.R.,My Song,"alternative r&b,pop,r&b",350741,2018-01-02
6,The High,Kelela,Hallucinogen,"afrofuturism,alternative r&b,art pop,dance pop,electropop,escape room,experimental r&b,indie soul,pop",341061,2015-10-09
3,The Waters,Anderson .Paak,Malibu,"escape room,alternative r&b,chicago rap,hip hop,indie soul,neo soul,rap,underground hip hop",174253,2016-01-15
1,2,H.E.R.,2,"alternative r&b,pop,r&b",188985,2017-10-13
2,Heart Don't Stand a Chance,Anderson .Paak,Malibu,escape room,312360,2016-01-15
10,Room in Here,Anderson .Paak,Malibu,"escape room,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",239173,2016-01-15
9,Lite Weight,Anderson .Paak,Malibu,escape room,206360,2016-01-15
13,Come Down,Anderson .Paak,Malibu,escape room,176693,2016-01-15
1,No Reply,Mahalia,No Reply,"alternative r&b,chill r&b,dance pop,indie anthem-folk,indie soul,pop,r&b,uk contemporary r&b",193813,2018-04-18
1,Call Out My Name,The Weeknd,"My Dear Melancholy,","canadian contemporary r&b,canadian pop,pop",228373,2018-03-30
7,Without You,Anderson .Paak,Malibu,"escape room,alternative hip hop,alternative r&b,escape room,hip hop,north carolina hip hop,trap queen,underground hip hop",199346,2016-01-15
1,"Independent Women, Pt. 1",Destiny's Child,Survivor,"dance pop,girl group,hip pop,pop,r&b,urban contemporary",221133,2001-05-01
4,Fallin',Alicia Keys,Songs In A Minor,"hip pop,neo soul,pop,r&b,urban contemporary",210200,2001-06-05
7,RPG (feat. 6lack),Kehlani,While We Wait,"dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary,alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap",236218,2019-02-22
5,Your Teeth In My Neck,Kali Uchis,Isolation,"colombian pop,pop",186181,2018-04-06
2,Rules,6LACK,FREE 6LACK,"alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap",211866,2016-11-18
13,Girls Need Love (with Drake) - Remix,Summer Walker,Last Day Of Summer,"pop,r&b,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",222374,2018-10-19
14,Juicy,Doja Cat,Amala (Deluxe Version),"dance pop,pop",199586,2019-03-01
6,"Me, Myself and I",Beyoncé,Dangerously In Love,"dance pop,pop,post-teen pop,r&b",301173,2003-03-10
